x,val
0.0,1.0
0.016,1.032512
0.032,1.066048
0.048,1.100608
0.064,1.136192
0.08,1.1727999999999998
0.096,1.210432
0.112,1.249088
0.128,1.288768
0.14400000000000002,1.329472
0.16,1.3712
0.176,1.4139519999999999
0.192,1.457728
0.20800000000000002,1.5025279999999999
0.224,1.548352
0.24,1.5952
0.256,1.643072
0.272,1.6919680000000001
0.28800000000000003,1.741888
0.304,1.7928320000000002
0.32,1.8448000000000002
0.336,1.8977920000000001
0.352,1.951808
0.368,2.0068479999999997
0.384,2.062912
0.4,2.12
0.41600000000000004,2.178112
0.432,2.2372479999999997
0.448,2.297408
0.464,2.358592
0.48,2.4208
0.496,2.484032
0.512,2.548288
0.528,2.613568
0.544,2.679872
0.56,2.7472000000000003
0.5760000000000001,2.8155520000000003
0.592,2.884928
0.608,2.955328
0.624,3.026752
0.64,3.0992
0.656,3.1726720000000004
0.672,3.2471680000000003
0.6880000000000001,3.3226880000000003
0.704,3.3992319999999996
0.72,3.4768
0.736,3.555392
0.752,3.635008
0.768,3.715648
0.784,3.7973120000000002
0.8,3.8800000000000003
0.8160000000000001,3.963712
0.8320000000000001,4.0484480000000005
0.848,4.134207999999999
0.864,4.220992
0.88,4.3088
0.896,4.397632
0.912,4.487488
0.928,4.578368
0.9440000000000001,4.670272000000001
0.96,4.763199999999999
0.976,4.857152
0.992,4.952128
